date,close,open,high,low
2021-11-09,1831.48,1824.74,1833.08,1817.70
2021-11-08,1824.26,1818.44,1826.93,1812.08
2021-11-05,1816.73,1792.14,1818.61,1785.17
2021-11-04,1791.70,1769.98,1799.26,1769.13
2021-11-03,1769.52,1787.71,1788.42,1758.45
2021-11-02,1787.28,1793.61,1796.91,1785.78
2021-11-01,1793.05,1783.24,1796.20,1778.89
2021-10-29,1782.81,1799.03,1801.49,1771.70
2021-10-28,1798.62,1796.78,1810.49,1792.34
2021-10-27,1796.69,1793.04,1799.38,1782.83
2021-10-26,1792.63,1807.90,1808.50,1781.98
2021-10-25,1807.47,1794.00,1810.18,1791.95
2021-10-22,1792.48,1782.89,1814.22,1782.46
2021-10-21,1782.76,1782.10,1789.61,1776.07
2021-10-20,1781.83,1769.28,1788.68,1766.50
2021-10-19,1768.87,1764.99,1785.53,1762.48
2021-10-18,1764.60,1767.74,1772.30,1759.68
2021-10-15,1767.26,1795.81,1796.89,1764.48
2021-10-14,1795.56,1792.75,1800.91,1786.22
